AAPL,TXN,QCOM,INTC,HON,GOOG,AVGO,DUK,CMS
0.757042982,0.657829799,0.586067223,0.430084822,0.706952238,0.848838806,0.842999917,0.713195466,0.720346383
0.746332879,0.65248656,0.57574658,0.429025499,0.718394321,0.827094362,0.857391035,0.73773184,0.761039114
0.740279282,0.649609474,0.577220853,0.418432226,0.706104498,0.803816113,0.733701412,0.744275081,0.751515217
0.757974321,0.670160234,0.527460471,0.41790267,0.696357599,0.798191561,0.764034519,0.705016511,0.728138591
0.7315482,0.659473901,0.530040641,0.421610245,0.695085988,0.827847959,0.766143638,0.690294807,0.734199198
0.726658818,0.642005795,0.536675363,0.425847427,0.701866705,0.815979948,0.774765932,0.671755872,0.728138591
0.737252565,0.635224003,0.5709548,0.425847427,0.712461345,0.81078607,0.772594814,0.675572612,0.728138591
0.736554114,0.620016482,0.577958044,0.418432226,0.678346585,0.771549391,0.764778952,0.651036238,0.677056336
0.739580819,0.612618187,0.599336668,0.404661144,0.672201843,0.755025761,0.745797418,0.629771293,0.664069148
0.733410866,0.626592725,0.601548168,0.399894142,0.671989738,0.736295379,0.757211177,0.618865893,0.646753389
0.738766011,0.625154172,0.542204225,0.380296789,0.662666413,0.715170011,0.73066196,0.579062449,0.610389577
0.740977908,0.603164858,0.48507193,0.370762837,0.641901005,0.705024365,0.752744946,0.572519209,0.584415635
0.730151286,0.591861878,0.457058731,0.361228939,0.631730237,0.67644449,0.712548858,0.546892104,0.567965504
0.724097677,0.665639046,0.478805877,0.402542447,0.675591894,0.739363317,0.771478208,0.565431039,0.54632048
0.697438856,0.650842622,0.458533151,0.39247894,0.674956237,0.723431824,0.761243148,0.590512779,0.580952345
0.758207196,0.633168948,0.455584311,0.387182224,0.664573682,0.710352768,0.742199713,0.585060269,0.566233902
0.760884682,0.627209227,0.431994187,0.395656801,0.673261053,0.705993138,0.711990599,0.558887799,0.53679667
0.765541363,0.629058714,0.455952981,0.412605901,0.669871001,0.701095408,0.713479377,0.53053463,0.535064981
